item_id,Question,Final Answer,Reasoning,Option a,Option b,Option c,Option d,Language,Subdomain,Type,Domain
1687,"যদি প্রকৃত ফলাফল কাঙ্ক্ষিত ফলাফল থেকে অনেক দূরে হয়, তবে সংশোধনমূলক পদক্ষেপ প্রয়োজন এবং এতে অন্তর্ভুক্ত রয়েছে:",ঘ,,মানদণ্ড পুনঃনির্ধারণ,কর্মচারীদের দায়িত্ব পুনঃবণ্টন,কর্মচারীদের প্রেরণা প্রদান,উপরের যেকোনোটি,bengali,,,
1687,"जर वास्तविक परिणाम अपेक्षित परिणामापासून खूप दूर असेल, तर सुधारात्मक कारवाई आवश्यक असते आणि त्यामध्ये समाविष्ट आहे:",घ,,मानकांचे पुनः निर्धारण,कर्मचाऱ्यांना कर्तव्यांचे पुनः वाटप,कर्मचाऱ्यांना प्रेरणा देणे,वरीलपैकी कोणतेही,marathi,,,
1687,"જો વાસ્તવિક પરિણામ ઇચ્છિત પરિણામથી ઘણું દૂર હોય, તો સુધારાત્મક કાર્યવાહી જરૂરી બને છે અને તેમાં સમાવેશ થાય છે:",ઘ,,ધોરણોનું પુનઃનિર્ધારણ,કર્મચારીઓને ફરજોનું પુનઃવહેંચાણ,કર્મચારીઓને પ્રેરણા આપવી,ઉપરોક્તમાંથી કોઈપણ,gujarati,,,
1687,"உண்மையான முடிவு விரும்பிய முடிவிலிருந்து மிகவும் விலகி இருந்தால், திருத்தும் நடவடிக்கை தேவைப்படுகிறது, அதில் அடங்கும்:",௪,,தரநிலைகளை மீண்டும் நிர்ணயித்தல்,ஊழியர்களுக்கு கடமைகளை மீண்டும் ஒதுக்குதல்,ஊழியர்களுக்கு ஊக்கத்தை வழங்குதல்,மேலே கூறியவற்றில் ஏதேனும் ஒன்று,tamil,,,
1688,CPC का अर्थ है,ख,,क्रिटिकल पाथ कंट्रोल,क्रिटिकल पॉइंट कंट्रोल,क्रिटिकल पॉइंट कंप्लेंट,क्रिटिकल पॉइंट कॉम्प्लेक्स,hindi,,,
1688,CPC এর অর্থ হলো,খ,,ক্রিটিক্যাল পাথ কন্ট্রোল,ক্রিটিক্যাল পয়েন্ট কন্ট্রোল,ক্রিটিক্যাল পয়েন্ট কমপ্লেইন্ট,ক্রিটিক্যাল পয়েন্ট কমপ্লেক্স,bengali,,,
1688,CPC म्हणजे,ख,,क्रिटिकल पाथ कंट्रोल,क्रिटिकल पॉइंट कंट्रोल,क्रिटिकल पॉइंट कंप्लेंट,क्रिटिकल पॉइंट कॉम्प्लेक्स,marathi,,,
1688,CPC નો અર્થ છે,ખ,,ક્રિટિકલ પાથ કન્ટ્રોલ,ક્રિટિકલ પોઇન્ટ કન્ટ્રોલ,ક્રિટિકલ પોઇન્ટ કમ્પ્લેઇન્ટ,ક્રિટિકલ પોઇન્ટ કોમ્પ્લેક્સ,gujarati,,,
1688,CPC என்பதன் பொருள்,௨,,கிரிட்டிக்கல் பாத் கண்ட்ரோல்,கிரிட்டிக்கல் பாயிண்ட் கண்ட்ரோல்,கிரிட்டிக்கல் பாயிண்ட் கம்ப்ளெயிண்ட்,கிரிட்டிக்கல் பாயிண்ட் காம்ப்ளெக்ஸ்,tamil,,,
1689,नियंत्रण के लिए चयनित प्रमुख क्षेत्रों को क्या कहा जाता है?,घ,विकल्प   क : प्रमुख परिणाम क्षेत्र   विकल्प   ख : प्रमुख सफलता कारक   विकल्प   ग : सामरिक बिंदु   विकल्प   घ : उपरोक्त सभी,प्रमुख परिणाम क्षेत्र,प्रमुख सफलता कारक,सामरिक बिंदु,उपरोक्त सभी,hindi,,,
1689,নিয়ন্ত্রণের জন্য নির্বাচিত প্রধান ক্ষেত্রগুলিকে কী বলা হয়?,ঘ,বিকল্প   ক : প্রধান ফলাফল ক্ষেত্র   বিকল্প   খ : প্রধান সাফল্যের উপাদান   বিকল্প   গ : কৌশলগত বিন্দু   বিকল্প   ঘ : উপরোক্ত সবগুলো,প্রধান ফলাফল ক্ষেত্র,প্রধান সাফল্যের উপাদান,কৌশলগত বিন্দু,উপরোক্ত সবগুলো,bengali,,,
1689,नियंत्रणासाठी निवडलेली प्रमुख क्षेत्रे काय म्हणतात?,घ,पर्याय   क : प्रमुख परिणाम क्षेत्रे   पर्याय   ख : प्रमुख यश घटक   पर्याय   ग : धोरणात्मक बिंदू   पर्याय   घ : वरील सर्व,प्रमुख परिणाम क्षेत्रे,प्रमुख यश घटक,धोरणात्मक बिंदू,वरील सर्व,marathi,,,
1689,નિયંત્રણ માટે પસંદ કરાયેલા મુખ્ય ક્ષેત્રોને શું કહેવામાં આવે છે?,ઘ,વિકલ્પ   ક : મુખ્ય પરિણામ ક્ષેત્રો   વિકલ્પ   ખ : મુખ્ય સફળતા ઘટકો   વિકલ્પ   ગ : વ્યૂહાત્મક બિંદુઓ   વિકલ્પ   ઘ : ઉપરોક્ત બધું,મુખ્ય પરિણામ ક્ષેત્રો,મુખ્ય સફળતા ઘટકો,વ્યૂહાત્મક બિંદુઓ,ઉપરોક્ત બધું,gujarati,,,
1689,கட்டுப்பாட்டிற்காக தேர்ந்தெடுக்கப்பட்ட முக்கிய பகுதிகள் எவ்வாறு அழைக்கப்படுகின்றன?,௪,விருப்பம்   அ : முக்கிய முடிவு பகுதிகள்   விருப்பம்   ஆ : முக்கிய வெற்றிக் காரணிகள்   விருப்பம்   இ : மூலோபாய புள்ளிகள்   விருப்பம்   ஘ : மேலே கூறிய அனைத்தும்,முக்கிய முடிவு பகுதிகள்,முக்கிய வெற்றிக் காரணிகள்,மூலோபாய புள்ளிகள்,மேலே கூறிய அனைத்தும்,tamil,,,
1690,एबीसी विश्लेषण इसका एक उदाहरण है:,क,"एबीसी विश्लेषण का उपयोग वस्तुओं या मदों को उनकी महत्ता और मूल्य के आधार पर वर्गीकृत करने के लिए किया जाता है, जिससे प्रबंधन को महत्वपूर्ण बिंदुओं पर नियंत्रण रखने में सहायता मिलती है। यह ""क्रिटिकल पॉइंट कंट्रोल"" का एक उदाहरण है।",महत्वपूर्ण बिंदु नियंत्रण,अपवाद द्वारा नियंत्रण,बजटरी नियंत्रण,ब्रेक ईवन विश्लेषण,hindi,,,
1690,এবিসি বিশ্লেষণ এর একটি উদাহরণ হল:,ক,"এবিসি বিশ্লেষণ ব্যবহার করা হয় পণ্য বা আইটেমগুলিকে তাদের গুরুত্ব ও মূল্যের ভিত্তিতে শ্রেণীবদ্ধ করতে, যা ব্যবস্থাপনাকে গুরুত্বপূর্ণ পয়েন্টগুলিতে নিয়ন্ত্রণ রাখতে সহায়তা করে। এটি ""ক্রিটিক্যাল পয়েন্ট কন্ট্রোল""-এর একটি উদাহরণ।",গুরুত্বপূর্ণ বিন্দু নিয়ন্ত্রণ,ব্যতিক্রম দ্বারা নিয়ন্ত্রণ,বাজেটারি নিয়ন্ত্রণ,ব্রেক ইভেন বিশ্লেষণ,bengali,,,
1690,एबीसी विश्लेषण हे याचे एक उदाहरण आहे:,क,"एबीसी विश्लेषणाचा उपयोग वस्तू किंवा घटक यांना त्यांच्या महत्त्व आणि मूल्याच्या आधारे वर्गीकृत करण्यासाठी केला जातो, ज्यामुळे व्यवस्थापनाला महत्त्वाच्या बिंदूंवर नियंत्रण ठेवता येते. हे ""क्रिटिकल पॉइंट कंट्रोल"" चे एक उदाहरण आहे.",महत्त्वाचा बिंदू नियंत्रण,अपवादाद्वारे नियंत्रण,बजेटरी नियंत्रण,ब्रेक ईव्हन विश्लेषण,marathi,,,
1690,એબીસી વિશ્લેષણનું એક ઉદાહરણ છે:,ક,"એબીસી વિશ્લેષણનો ઉપયોગ વસ્તુઓ અથવા આઇટમોને તેમની મહત્વતા અને મૂલ્યના આધારે વર્ગીકૃત કરવા માટે થાય છે, જે મેનેજમેન્ટને મહત્વના બિંદુઓ પર નિયંત્રણ રાખવામાં મદદ કરે છે. આ ""ક્રિટિકલ પોઇન્ટ કન્ટ્રોલ""નું એક ઉદાહરણ છે.",મહત્વપૂર્ણ બિંદુ નિયંત્રણ,અપવાદ દ્વારા નિયંત્રણ,બજેટરી નિયંત્રણ,બ્રેક ઈવન વિશ્લેષણ,gujarati,,,
1690,ஏபிசி பகுப்பாய்வு என்பது எதற்கான ஒரு எடுத்துக்காட்டு?,௧,"ஏபிசி பகுப்பாய்வு பொருட்கள் அல்லது உருப்படிகளை அவற்றின் முக்கியத்துவம் மற்றும் மதிப்பின் அடிப்படையில் வகைப்படுத்த பயன்படுத்தப்படுகிறது, இது மேலாண்மைக்கு முக்கிய புள்ளிகளில் கட்டுப்பாட்டை வைத்திருக்க உதவுகிறது. இது ""கிரிட்டிக்கல் பாயிண்ட் கண்ட்ரோல்"" என்பதற்கான ஒரு எடுத்துக்காட்டு ஆகும்.",முக்கிய புள்ளி கட்டுப்பாடு,விலக்கு மூலம் கட்டுப்பாடு,பட்ஜெட்டரி கட்டுப்பாடு,பிரேக் ஈவன் பகுப்பாய்வு,tamil,,,
1691,"एबीसी विश्लेषण के अंतर्गत, नियंत्रण का ध्यान उन ____ इन्वेंटरी मदों पर केंद्रित करने का प्रयास किया जाता है जो संख्या में कम लेकिन मूल्य में अधिक होते हैं।",क,"विकल्प क: ‘ए’ श्रेणी         विकल्प ख: ‘बी’ श्रेणी   भारतीय लागत लेखाकार संस्थान, व्यवसाय अर्थशास्त्र और प्रबंधन की मूल बातें          विकल्प ग: ‘सी’ श्रेणी         विकल्प घ: उपरोक्त सभी",‘ए’ श्रेणी,‘बी’ श्रेणी,‘सी’ श्रेणी,उपरोक्त सभी,hindi,,,
1691,"এবিসি বিশ্লেষণের অধীনে, নিয়ন্ত্রণের মনোযোগ সেই ____ মজুত সামগ্রীগুলিতে কেন্দ্রীভূত করার চেষ্টা করা হয় যা সংখ্যায় কম কিন্তু মূল্যে বেশি।",ক,"বিকল্প ক: ‘এ’ শ্রেণী         বিকল্প খ: ‘বি’ শ্রেণী   দ্য ইনস্টিটিউট অফ কস্ট অ্যাকাউন্ট্যান্টস অফ ইন্ডিয়া, ব্যবসায় অর্থনীতি ও ব্যবস্থাপনার মৌলিক বিষয়সমূহ          বিকল্প গ: ‘সি’ শ্রেণী         বিকল্প ঘ: উপরের সবগুলো",‘এ’ শ্রেণী,‘বি’ শ্রেণী,‘সি’ শ্রেণী,উপরের সবগুলো,bengali,,,
1691,"एबीसी विश्लेषणांतर्गत, नियंत्रणाचे लक्ष त्या ____ साठा घटकांवर केंद्रित करण्याचा प्रयत्न केला जातो जे संख्येने कमी पण मूल्यात जास्त असतात।",क,"पर्याय क: ‘ए’ वर्ग         पर्याय ख: ‘बी’ वर्ग   इन्स्टिट्यूट ऑफ कॉस्ट अकाउंटंट्स ऑफ इंडिया, व्यवसाय अर्थशास्त्र आणि व्यवस्थापनाची मूलतत्त्वे          पर्याय ग: ‘सी’ वर्ग         पर्याय घ: वरील सर्व",‘ए’ वर्ग,‘बी’ वर्ग,‘सी’ वर्ग,वरील सर्व,marathi,,,
1691,"એબીસી વિશ્લેષણ હેઠળ, નિયંત્રણનું ધ્યાન તે ____ ઇન્વેન્ટરી આઇટમ્સ પર કેન્દ્રિત કરવાનો પ્રયાસ કરવામાં આવે છે જે સંખ્યામાં ઓછા પરંતુ મૂલ્યમાં મોટા હોય છે.",ક,"વિકલ્પ ક: ‘એ’ શ્રેણી         વિકલ્પ ખ: ‘બી’ શ્રેણી   ઇન્સ્ટિટ્યૂટ ઓફ કોસ્ટ એકાઉન્ટન્ટ્સ ઓફ ઇન્ડિયા, બિઝનેસ ઇકોનોમિક્સ અને મેનેજમેન્ટના મૂળભૂત તત્ત્વો          વિકલ્પ ગ: ‘સી’ શ્રેણી         વિકલ્પ ઘ: ઉપરોક્ત બધું",‘એ’ શ્રેણી,‘બી’ શ્રેણી,‘સી’ શ્રેણી,ઉપરોક્ત બધું,gujarati,,,
1691,"ஏபிசி பகுப்பாய்வின் கீழ், எண்ணிக்கையில் குறைவாக இருந்தாலும் மதிப்பில் அதிகமாக உள்ள ____ சரக்கு உருப்படிகளின் மீது கட்டுப்பாட்டு கவனம் செலுத்தப்படுகிறது.",௧,"விருப்பம் அ: ‘ஏ’ வகை         விருப்பம் ஆ: ‘பி’ வகை   இந்திய செலவுக் கணக்காளர்கள் நிறுவனம், வணிக பொருளாதாரம் மற்றும் மேலாண்மையின் அடிப்படைகள்          விருப்பம் இ: ‘சி’ வகை         விருப்பம் ஈ: மேலே உள்ள அனைத்தும்",‘ஏ’ வகை,‘பி’ வகை,‘சி’ வகை,மேலே உள்ள அனைத்தும்,tamil,,,
1692,‘अपवाद द्वारा नियंत्रण’ को और किस नाम से जाना जाता है?,ख,विकल्प   क : उद्देश्यों द्वारा प्रबंधन   विकल्प   ख : अपवाद द्वारा प्रबंधन   विकल्प   ग : महत्वपूर्ण बिंदु नियंत्रण   विकल्प   घ : उपरोक्त में से कोई नहीं,उद्देश्यों द्वारा प्रबंधन,अपवाद द्वारा प्रबंधन,महत्वपूर्ण बिंदु नियंत्रण,उपरोक्त में से कोई नहीं,hindi,,,
1692,‘ব্যতিক্রম দ্বারা নিয়ন্ত্রণ’ আর কী নামে পরিচিত?,খ,বিকল্প   ক : উদ্দেশ্য দ্বারা ব্যবস্থাপনা   বিকল্প   খ : ব্যতিক্রম দ্বারা ব্যবস্থাপনা   বিকল্প   গ : সংকটপূর্ণ বিন্দু নিয়ন্ত্রণ   বিকল্প   ঘ : উপরের কোনোটিই নয়,উদ্দেশ্য দ্বারা ব্যবস্থাপনা,ব্যতিক্রম দ্বারা ব্যবস্থাপনা,সংকটপূর্ণ বিন্দু নিয়ন্ত্রণ,উপরের কোনোটিই নয়,bengali,,,
1692,‘अपवादाद्वारे नियंत्रण’ याला आणखी कोणत्या नावाने ओळखले जाते?,ख,पर्याय   क : उद्दिष्टांद्वारे व्यवस्थापन   पर्याय   ख : अपवादाद्वारे व्यवस्थापन   पर्याय   ग : महत्त्वपूर्ण बिंदू नियंत्रण   पर्याय   घ : वरीलपैकी काहीही नाही,उद्दिष्टांद्वारे व्यवस्थापन,अपवादाद्वारे व्यवस्थापन,महत्त्वपूर्ण बिंदू नियंत्रण,वरीलपैकी काहीही नाही,marathi,,,
1692,‘અપવાદ દ્વારા નિયંત્રણ’ ને બીજું શું કહેવામાં આવે છે?,ખ,વિકલ્પ   ક : હેતુઓ દ્વારા મેનેજમેન્ટ   વિકલ્પ   ખ : અપવાદ દ્વારા મેનેજમેન્ટ   વિકલ્પ   ગ : મહત્વપૂર્ણ બિંદુ નિયંત્રણ   વિકલ્પ   ઘ : ઉપરોક્તમાંથી કોઈ નહીં,હેતુઓ દ્વારા મેનેજમેન્ટ,અપવાદ દ્વારા મેનેજમેન્ટ,મહત્વપૂર્ણ બિંદુ નિયંત્રણ,ઉપરોક્તમાંથી કોઈ નહીં,gujarati,,,
1692,‘விதிவிலக்கு மூலம் கட்டுப்பாடு’ வேறு எந்த பெயரால் அழைக்கப்படுகிறது?,௨,விருப்பம்   அ : குறிக்கோள்களால் மேலாண்மை   விருப்பம்   ஆ : விதிவிலக்கு மூலம் மேலாண்மை   விருப்பம்   இ : முக்கிய புள்ளி கட்டுப்பாடு   விருப்பம்   ஈ : மேற்கண்டவற்றில் எதுவும் இல்லை,குறிக்கோள்களால் மேலாண்மை,விதிவிலக்கு மூலம் மேலாண்மை,முக்கிய புள்ளி கட்டுப்பாடு,மேற்கண்டவற்றில் எதுவும் இல்லை,tamil,,,
1693,"‘अपवाद द्वारा नियंत्रण’ के अनुसार, प्रत्येक स्तर के प्रबंधकों को केवल किन बातों पर ध्यान देना चाहिए।",ग,विकल्प अ: अपवादात्मक विचलन   विकल्प ब: महत्वपूर्ण विचलन   विकल्प ग: अपवादात्मक और महत्वपूर्ण विचलन   विकल्प घ: उपरोक्त में से कोई नहीं,अपवादात्मक विचलन,महत्वपूर्ण विचलन,अपवादात्मक और महत्वपूर्ण विचलन,उपरोक्त में से कोई नहीं,hindi,,,
1693,"‘ব্যতিক্রম দ্বারা নিয়ন্ত্রণ’ অনুযায়ী, প্রতিটি স্তরের ব্যবস্থাপককে শুধুমাত্র কোন বিষয়ে মনোযোগ দেওয়া উচিত।",গ,বিকল্প ক: ব্যতিক্রমী বিচ্যুতি   বিকল্প খ: গুরুত্বপূর্ণ বিচ্যুতি   বিকল্প গ: ব্যতিক্রমী এবং গুরুত্বপূর্ণ বিচ্যুতি   বিকল্প ঘ: উপরের কোনোটিই নয়,ব্যতিক্রমী বিচ্যুতি,গুরুত্বপূর্ণ বিচ্যুতি,ব্যতিক্রমী এবং গুরুত্বপূর্ণ বিচ্যুতি,উপরের কোনোটিই নয়,bengali,,,
1693,"‘अपवादाद्वारे नियंत्रण’ या तत्त्वानुसार, प्रत्येक स्तरावरील व्यवस्थापकांनी फक्त कोणत्या गोष्टींकडे लक्ष द्यावे.",ग,पर्याय अ: अपवादात्मक विचलन   पर्याय ब: महत्त्वपूर्ण विचलन   पर्याय क: अपवादात्मक आणि महत्त्वपूर्ण विचलन   पर्याय ड: वरीलपैकी काहीही नाही,अपवादात्मक विचलन,महत्त्वपूर्ण विचलन,अपवादात्मक आणि महत्त्वपूर्ण विचलन,वरीलपैकी काहीही नाही,marathi,,,
1693,"‘અપવાદ દ્વારા નિયંત્રણ’ મુજબ, દરેક સ્તરના મેનેજરોએ ફક્ત કઈ બાબતો પર ધ્યાન આપવું જોઈએ.",ગ,વિકલ્પ અ: અપવાદરૂપ વિચલન   વિકલ્પ બ: મહત્વપૂર્ણ વિચલન   વિકલ્પ ક: અપવાદરૂપ અને મહત્વપૂર્ણ વિચલન   વિકલ્પ ડ: ઉપરોક્તમાંથી કોઈ નહીં,અપવાદરૂપ વિચલન,મહત્વપૂર્ણ વિચલન,અપવાદરૂપ અને મહત્વપૂર્ણ વિચલન,ઉપરોક્તમાંથી કોઈ નહીં,gujarati,,,
1693,"‘விதிவிலக்கு மூலம் கட்டுப்பாடு’ என்ற கொள்கையின் படி, ஒவ்வொரு நிலை மேலாளர்களும் எந்த விஷயங்களுக்கு மட்டும் கவனம் செலுத்த வேண்டும்.",௩,விருப்பம் அ: விதிவிலக்கு விலகல்கள்   விருப்பம் ஆ: முக்கியமான விலகல்கள்   விருப்பம் இ: விதிவிலக்கு மற்றும் முக்கியமான விலகல்கள்   விருப்பம் ஈ: மேற்கண்டவற்றில் எதுவும் இல்லை,விதிவிலக்கு விலகல்கள்,முக்கியமான விலகல்கள்,விதிவிலக்கு மற்றும் முக்கியமான விலகல்கள்,மேற்கண்டவற்றில் எதுவும் இல்லை,tamil,,,
1694,पोस्ट नियंत्रण को और किस नाम से जाना जाता है?,क,पोस्ट नियंत्रण को आमतौर पर फीडबैक नियंत्रण कहा जाता है क्योंकि यह कार्य पूर्ण होने के बाद परिणामों का मूल्यांकन करता है और आवश्यक सुधारात्मक कार्रवाई करता है।,फीडबैक नियंत्रण,समवर्ती नियंत्रण,पूर्व-नियंत्रण,फीड फॉरवर्ड नियंत्रण,hindi,,,
1694,পোস্ট কন্ট্রোল আর কী নামে পরিচিত?,ক,"পোস্ট কন্ট্রোল সাধারণত ফিডব্যাক কন্ট্রোল নামে পরিচিত, কারণ এটি কাজ সম্পন্ন হওয়ার পরে ফলাফল মূল্যায়ন করে এবং প্রয়োজনীয় সংশোধনমূলক পদক্ষেপ গ্রহণ করে।",ফিডব্যাক কন্ট্রোল,সমসাময়িক কন্ট্রোল,প্রী-কন্ট্রোল,ফিড ফরওয়ার্ড কন্ট্রোল,bengali,,,
1694,पोस्ट नियंत्रणाला आणखी कोणत्या नावाने ओळखले जाते?,क,पोस्ट नियंत्रणाला सामान्यतः फीडबॅक नियंत्रण म्हणतात कारण हे कार्य पूर्ण झाल्यानंतर परिणामांचे मूल्यांकन करते आणि आवश्यक सुधारात्मक कारवाई करते।,फीडबॅक नियंत्रण,समकालीन नियंत्रण,पूर्व-नियंत्रण,फीड फॉरवर्ड नियंत्रण,marathi,,,
1694,પોસ્ટ કંટ્રોલને બીજું શું કહેવામાં આવે છે?,ક,પોસ્ટ કંટ્રોલને સામાન્ય રીતે ફીડબેક કંટ્રોલ કહેવામાં આવે છે કારણ કે તે કાર્ય પૂર્ણ થયા પછી પરિણામોનું મૂલ્યાંકન કરે છે અને જરૂરી સુધારાત્મક પગલાં લે છે।,ફીડબેક કંટ્રોલ,સહસમય કંટ્રોલ,પ્રી-કંટ્રોલ,ફીડ ફોરવર્ડ કંટ્રોલ,gujarati,,,
1694,போஸ்ட் கட்டுப்பாடு வேறு எந்த பெயரால் அழைக்கப்படுகிறது?,௧,"போஸ்ட் கட்டுப்பாடு பொதுவாக பீட்பேக் கட்டுப்பாடு என அழைக்கப்படுகிறது, ஏனெனில் இது பணிகள் முடிந்த பின் முடிவுகளை மதிப்பீடு செய்து தேவையான திருத்த நடவடிக்கைகளை எடுக்கிறது.",பீட்பேக் கட்டுப்பாடு,ஒரேநேர கட்டுப்பாடு,முன்-கட்டுப்பாடு,பீட் ஃபார்வர்ட் கட்டுப்பாடு,tamil,,,
1695,पूर्व-नियंत्रण को और किस नाम से जाना जाता है?,घ,विकल्प क: फीडबैक नियंत्रण         विकल्प ख: समवर्ती नियंत्रण         विकल्प ग: पश्च-नियंत्रण         विकल्प घ: फीड फॉरवर्ड नियंत्रण,फीडबैक नियंत्रण,समवर्ती नियंत्रण,पश्च-नियंत्रण,फीड फॉरवर्ड नियंत्रण,hindi,,,
1695,পূর্ব-নিয়ন্ত্রণকে আর কী নামে ডাকা হয়?,ঘ,বিকল্প ক: ফিডব্যাক নিয়ন্ত্রণ         বিকল্প খ: সমসাময়িক নিয়ন্ত্রণ         বিকল্প গ: পরবর্তী নিয়ন্ত্রণ         বিকল্প ঘ: ফিড ফরওয়ার্ড নিয়ন্ত্রণ,ফিডব্যাক নিয়ন্ত্রণ,সমসাময়িক নিয়ন্ত্রণ,পরবর্তী নিয়ন্ত্রণ,ফিড ফরওয়ার্ড নিয়ন্ত্রণ,bengali,,,
1695,पूर्व-नियंत्रण याला आणखी कोणत्या नावाने ओळखले जाते?,घ,पर्याय क: फीडबॅक नियंत्रण         पर्याय ख: समकालीन नियंत्रण         पर्याय ग: पश्च-नियंत्रण         पर्याय घ: फीड फॉरवर्ड नियंत्रण,फीडबॅक नियंत्रण,समकालीन नियंत्रण,पश्च-नियंत्रण,फीड फॉरवर्ड नियंत्रण,marathi,,,
1695,પૂર્વ-નિયંત્રણને અન્ય કયા નામે ઓળખવામાં આવે છે?,ઘ,વિકલ્પ ક: ફીડબેક નિયંત્રણ         વિકલ્પ ખ: સમકાલીન નિયંત્રણ         વિકલ્પ ગ: અનુ-નિયંત્રણ         વિકલ્પ ઘ: ફીડ ફોરવર્ડ નિયંત્રણ,ફીડબેક નિયંત્રણ,સમકાલીન નિયંત્રણ,અનુ-નિયંત્રણ,ફીડ ફોરવર્ડ નિયંત્રણ,gujarati,,,
1695,முன்-கட்டுப்பாடு வேறு எந்த பெயரால் அழைக்கப்படுகிறது?,௪,விருப்பம் க: பின்னூட்ட கட்டுப்பாடு         விருப்பம் ங: ஒரேநேர கட்டுப்பாடு         விருப்பம் ச: பிந்தைய கட்டுப்பாடு         விருப்பம் ஘: பீட் ஃபார்வர்ட் கட்டுப்பாடு,பின்னூட்ட கட்டுப்பாடு,ஒரேநேர கட்டுப்பாடு,பிந்தைய கட்டுப்பாடு,பீட் ஃபார்வர்ட் கட்டுப்பாடு,tamil,,,
1696,"कौन-सा नियंत्रण इस धारणा पर आधारित है कि हम उन घटनाओं पर नियंत्रण रख सकते हैं जो भविष्य में घटित होंगी, न कि उन घटनाओं पर जो पहले ही घटित हो चुकी हैं?",घ,विकल्प क: पश्च नियंत्रण         विकल्प ख: समकालिक नियंत्रण         विकल्प ग: पूर्व-नियंत्रण         विकल्प घ: फीड फॉरवर्ड नियंत्रण,पश्च नियंत्रण,समकालिक नियंत्रण,पूर्व-नियंत्रण,फीड फॉरवर्ड नियंत्रण,hindi,,,
1696,"কোন নিয়ন্ত্রণ সেই ধারণার উপর ভিত্তি করে যে আমরা ভবিষ্যতে ঘটবে এমন ঘটনাগুলির উপর নিয়ন্ত্রণ রাখতে পারি, কিন্তু ইতিমধ্যেই ঘটে গেছে এমন ঘটনাগুলির উপর নয়?",ঘ,বিকল্প ক: পরবর্তী নিয়ন্ত্রণ         বিকল্প খ: সমসাময়িক নিয়ন্ত্রণ         বিকল্প গ: পূর্ব-নিয়ন্ত্রণ         বিকল্প ঘ: ফিড ফরওয়ার্ড নিয়ন্ত্রণ,পরবর্তী নিয়ন্ত্রণ,সমসাময়িক নিয়ন্ত্রণ,পূর্ব-নিয়ন্ত্রণ,ফিড ফরওয়ার্ড নিয়ন্ত্রণ,bengali,,,
1696,"कोणता नियंत्रण या संकल्पनेवर आधारित आहे की आपण भविष्यात घडणाऱ्या घटनांवर नियंत्रण ठेवू शकतो, पण आधीच घडून गेलेल्या घटनांवर नाही?",घ,पर्याय क: पश्च नियंत्रण         पर्याय ख: समकालिक नियंत्रण         पर्याय ग: पूर्व-नियंत्रण         पर्याय घ: फीड फॉरवर्ड नियंत्रण,पश्च नियंत्रण,समकालिक नियंत्रण,पूर्व-नियंत्रण,फीड फॉरवर्ड नियंत्रण,marathi,,,
1696,"કયો નિયંત્રણ આ ધારણ પર આધારિત છે કે આપણે ભવિષ્યમાં બનનારી ઘટનાઓ પર નિયંત્રણ રાખી શકીએ છીએ, પરંતુ જે ઘટનાઓ પહેલેથી બની ગઈ છે તેના પર નહીં?",ઘ,વિકલ્પ ક: અનુ નિયંત્રણ         વિકલ્પ ખ: સમકાલીન નિયંત્રણ         વિકલ્પ ગ: પૂર્વ-નિયંત્રણ         વિકલ્પ ઘ: ફીડ ફોરવર્ડ નિયંત્રણ,અનુ નિયંત્રણ,સમકાલીન નિયંત્રણ,પૂર્વ-નિયંત્રણ,ફીડ ફોરવર્ડ નિયંત્રણ,gujarati,,,
1696,"ஏற்கனவே நடந்த நிகழ்வுகளுக்கு அல்லாமல், எதிர்காலத்தில் நடைபெறவிருக்கும் நிகழ்வுகளை நாம் கட்டுப்படுத்த முடியும் என்ற கருத்தின் அடிப்படையில் அமைந்த கட்டுப்பாடு எது?",௪,விருப்பம் அ: பிந்தைய கட்டுப்பாடு         விருப்பம் ஆ: ஒரேநேர கட்டுப்பாடு         விருப்பம் இ: முன்-கட்டுப்பாடு         விருப்பம் ஈ: ஃபீட் ஃபார்வர்ட் கட்டுப்பாடு,பிந்தைய கட்டுப்பாடு,ஒரேநேர கட்டுப்பாடு,முன்-கட்டுப்பாடு,ஃபீட் ஃபார்வர்ட் கட்டுப்பாடு,tamil,,,
1697,समवर्ती नियंत्रण को और किस नाम से जाना जाता है?,ग,"समवर्ती नियंत्रण को वास्तविक समय नियंत्रण   Real-Time control  भी कहा जाता है क्योंकि यह गतिविधियों के दौरान ही निगरानी और सुधार की प्रक्रिया को शामिल करता है, जिससे विचलनों को तुरंत ठीक किया जा सके।",पश्च नियंत्रण,पूर्व-नियंत्रण,वास्तविक समय नियंत्रण,फीड फॉरवर्ड नियंत्रण,hindi,,,
1697,সমসাময়িক নিয়ন্ত্রণকে আর কী নামে ডাকা হয়?,গ,"সমসাময়িক নিয়ন্ত্রণকে রিয়েল-টাইম নিয়ন্ত্রণ   Real-Time control  বলা হয় কারণ এটি কার্যক্রম চলাকালীন পর্যবেক্ষণ ও সংশোধনের প্রক্রিয়া অন্তর্ভুক্ত করে, যাতে বিচ্যুতি সঙ্গে সঙ্গে সংশোধন করা যায়।",পোস্ট নিয়ন্ত্রণ,প্রী-নিয়ন্ত্রণ,রিয়েল-টাইম নিয়ন্ত্রণ,ফিড ফরওয়ার্ড নিয়ন্ত্রণ,bengali,,,
